gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,TechSupport,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,MonthlyCharges_x_MTM,Tenure_x_Security,MTM_x_NoSecurity,CostPerTenureMonth,Churn
Male,0,Yes,No,7.0,Yes,Yes,No,Yes,No,Month-to-month,No,Bank transfer,75.38,548.95,75.38,7.0,0.0,9.4225,1
Female,0,Yes,No,25.0,Yes,No phone service,Fiber optic,No internet service,Yes,Month-to-month,No,Credit card,27.9,671.39,27.9,0.0,1.0,1.073076923076923,0
Female,0,No,Yes,51.0,Yes,Yes,Fiber optic,Yes,No internet service,Month-to-month,Yes,Mailed check,92.36,4721.52,92.36,51.0,0.0,1.7761538461538462,0
Male,0,Yes,Yes,30.0,Yes,No phone service,DSL,No internet service,No internet service,Month-to-month,Yes,Bank transfer,47.24,1417.39,47.24,0.0,1.0,1.5238709677419355,0
Male,0,Yes,No,12.0,Yes,Yes,Fiber optic,Yes,Yes,Month-to-month,No,Bank transfer,113.84,1413.45,113.84,12.0,0.0,8.756923076923076,0
Female,0,Yes,No,70.0,Yes,Yes,Fiber optic,No internet service,Yes,Month-to-month,No,Bank transfer,20.52,1450.79,20.52,0.0,1.0,0.28901408450704225,0
Male,0,No,No,15.0,No,Yes,Fiber optic,Yes,No internet service,One year,Yes,Mailed check,74.45,1116.91,0.0,15.0,0.0,4.653125,0
Female,0,No,No,6.0,Yes,Yes,DSL,No internet service,No,Month-to-month,No,Electronic check,88.38,550.85,88.38,0.0,1.0,12.625714285714285,1
Male,0,No,No,28.0,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,61.08,1721.89,61.08,0.0,1.0,2.106206896551724,0
Male,0,Yes,Yes,8.0,Yes,Yes,DSL,No,No,Month-to-month,Yes,Credit card,114.53,931.47,114.53,0.0,1.0,12.725555555555555,1
Female,0,No,No,43.0,Yes,Yes,No,No,No internet service,Month-to-month,Yes,Mailed check,47.97,2072.95,47.97,0.0,1.0,1.0902272727272726,0
Female,0,Yes,No,31.0,Yes,No,No,No internet service,No internet service,Two year,No,Mailed check,20.35,623.35,0.0,0.0,0.0,0.6359375,0
Female,0,No,No,66.0,Yes,No,DSL,Yes,No internet service,Two year,No,Credit card,86.44,5697.37,0.0,66.0,0.0,1.2901492537313433,0
Female,0,Yes,No,13.0,Yes,No,Fiber optic,No,Yes,Month-to-month,Yes,Bank transfer,69.46,917.06,69.46,0.0,1.0,4.961428571428571,0
Female,0,Yes,Yes,20.0,Yes,Yes,Fiber optic,Yes,No,Month-to-month,No,Credit card,78.84,1564.41,78.84,20.0,0.0,3.7542857142857144,0
Female,0,No,Yes,49.0,Yes,Yes,No,No internet service,Yes,Month-to-month,No,Credit card,73.26,3593.37,73.26,0.0,1.0,1.4652,0
Female,0,No,No,50.0,Yes,Yes,No,No internet service,Yes,One year,Yes,Electronic check,90.0,4510.23,0.0,0.0,0.0,1.7647058823529411,0
Male,0,Yes,No,26.0,Yes,No phone service,Fiber optic,No,Yes,Month-to-month,Yes,Electronic check,65.35,1687.85,65.35,0.0,1.0,2.42037037037037,0
Female,0,Yes,No,66.0,Yes,No,No,No,No internet service,Month-to-month,No,Electronic check,24.83,1647.92,24.83,0.0,1.0,0.3705970149253731,0
Male,0,Yes,No,61.0,Yes,Yes,DSL,No internet service,No internet service,One year,Yes,Mailed check,23.78,1451.35,0.0,0.0,0.0,0.3835483870967742,0
Female,1,No,No,44.0,Yes,No,DSL,No,Yes,One year,Yes,Credit card,21.02,917.46,0.0,0.0,0.0,0.4671111111111111,0
Male,0,Yes,No,54.0,Yes,No phone service,Fiber optic,Yes,No,Month-to-month,Yes,Credit card,114.43,6194.86,114.43,54.0,0.0,2.0805454545454545,0
Male,1,Yes,Yes,39.0,Yes,No phone service,Fiber optic,No internet service,No,Month-to-month,Yes,Credit card,113.65,4407.37,113.65,0.0,1.0,2.84125,0
Female,0,Yes,Yes,34.0,Yes,No phone service,DSL,No internet service,No internet service,One year,No,Electronic check,56.84,1907.46,0.0,0.0,0.0,1.624,0
Female,0,Yes,No,39.0,Yes,Yes,Fiber optic,Yes,No internet service,One year,No,Bank transfer,85.16,3322.36,0.0,39.0,0.0,2.129,0
Female,0,No,No,60.0,Yes,Yes,DSL,No,No,Month-to-month,No,Mailed check,,1375.77,23.3,0.0,1.0,0.3819672131147541,0
Male,0,Yes,No,2.0,No,No phone service,DSL,No,No,Two year,Yes,Electronic check,88.7,203.4,0.0,0.0,0.0,29.566666666666666,0
Female,0,No,Yes,8.0,No,No phone service,No,Yes,No,Month-to-month,No,Credit card,63.62,502.52,63.62,8.0,0.0,7.068888888888889,0
Female,0,No,No,34.0,Yes,Yes,Fiber optic,No internet service,No,Month-to-month,Yes,Mailed check,67.86,2279.55,67.86,0.0,1.0,1.9388571428571428,0
Male,0,Yes,Yes,42.0,Yes,No phone service,Fiber optic,No internet service,No internet service,One year,Yes,Electronic check,28.15,1179.33,0.0,0.0,0.0,0.6546511627906977,0
Male,0,No,Yes,13.0,Yes,No,Fiber optic,No,Yes,One year,Yes,Mailed check,57.08,777.86,0.0,0.0,0.0,4.077142857142857,0
Male,1,No,No,43.0,Yes,No phone service,Fiber optic,No,Yes,Two year,No,Bank transfer,36.26,1541.73,0.0,0.0,0.0,0.8240909090909091,0
Male,0,No,No,2.0,Yes,Yes,DSL,Yes,No,Month-to-month,No,Bank transfer,18.65,25.1,18.65,2.0,0.0,6.216666666666666,0
Female,0,Yes,Yes,18.0,Yes,No,Fiber optic,No,No,Two year,No,Bank transfer,59.29,1078.53,0.0,0.0,0.0,3.1205263157894736,0
Female,0,Yes,No,33.0,No,No,No,No internet service,No,Month-to-month,Yes,Mailed check,28.42,966.15,28.42,0.0,1.0,0.8358823529411765,0
Male,0,No,No,4.0,Yes,No phone service,DSL,No,No internet service,Month-to-month,No,Electronic check,36.54,126.39,36.54,0.0,1.0,7.308,0
Female,1,Yes,No,45.0,Yes,No phone service,DSL,Yes,No,Two year,No,Bank transfer,48.77,2179.65,0.0,45.0,0.0,1.060217391304348,0
Female,0,Yes,No,38.0,Yes,No,Fiber optic,No internet service,Yes,Month-to-month,Yes,Electronic check,63.33,2375.71,63.33,0.0,1.0,1.6238461538461537,0
Male,1,No,Yes,41.0,Yes,No,Fiber optic,No,Yes,One year,Yes,Mailed check,42.08,1725.05,0.0,0.0,0.0,1.0019047619047619,0
Female,0,Yes,No,37.0,Yes,Yes,DSL,No internet service,Yes,One year,No,Credit card,113.27,4196.05,0.0,0.0,0.0,2.98078947368421,0
Male,0,No,No,50.0,Yes,No,Fiber optic,No,Yes,One year,No,Electronic check,109.93,,0.0,0.0,0.0,2.1554901960784316,0
Female,0,No,Yes,47.0,Yes,No phone service,No,No,Yes,Month-to-month,No,Electronic check,42.84,2022.14,42.84,0.0,1.0,0.8925000000000001,0
Female,0,Yes,No,47.0,No,Yes,DSL,No,No internet service,Month-to-month,No,Mailed check,62.87,2957.1,62.87,0.0,1.0,1.3097916666666667,0
Male,0,No,Yes,16.0,Yes,No phone service,DSL,No,No internet service,Two year,No,Credit card,78.74,1265.15,0.0,0.0,0.0,4.631764705882353,0
Male,0,No,No,49.0,Yes,Yes,Fiber optic,No internet service,No internet service,Month-to-month,Yes,Electronic check,36.64,1807.42,36.64,0.0,1.0,0.7328,0
Female,1,No,No,13.0,No,Yes,Fiber optic,No internet service,No internet service,Month-to-month,No,Credit card,80.83,1027.26,80.83,0.0,1.0,5.773571428571429,1
Male,0,Yes,No,2.0,Yes,No phone service,DSL,Yes,Yes,Month-to-month,No,Bank transfer,60.05,125.3,60.05,2.0,0.0,20.016666666666666,1
Female,0,No,Yes,70.0,Yes,No,Fiber optic,Yes,No,Month-to-month,No,Electronic check,21.11,1444.59,21.11,70.0,0.0,0.29732394366197185,1
Female,0,No,Yes,13.0,No,No phone service,Fiber optic,No internet service,No internet service,Month-to-month,Yes,Credit card,43.69,590.92,43.69,0.0,1.0,3.1207142857142856,1
Female,1,No,No,9.0,Yes,No phone service,Fiber optic,No internet service,No internet service,Month-to-month,Yes,Mailed check,36.33,363.16,36.33,0.0,1.0,3.633,0
Female,0,Yes,Yes,22.0,Yes,Yes,Fiber optic,Yes,Yes,Two year,No,Electronic check,100.28,2194.6,0.0,22.0,0.0,4.36,0
Male,0,No,No,71.0,Yes,No,DSL,Yes,Yes,Month-to-month,Yes,Bank transfer,67.75,4816.68,67.75,71.0,0.0,0.9409722222222222,0
Male,0,Yes,No,62.0,Yes,Yes,DSL,Yes,No internet service,One year,No,Bank transfer,36.01,2248.93,0.0,62.0,0.0,0.5715873015873015,0
Male,0,Yes,Yes,52.0,Yes,No,No,No,No,One year,No,Bank transfer,74.89,3925.55,0.0,0.0,0.0,1.4130188679245284,0
Male,0,No,No,14.0,Yes,Yes,Fiber optic,Yes,No internet service,Two year,No,Mailed check,61.62,860.19,0.0,14.0,0.0,4.108,0
Male,0,Yes,Yes,45.0,Yes,Yes,Fiber optic,Yes,No,Month-to-month,No,Bank transfer,60.75,2719.8,60.75,45.0,0.0,1.3206521739130435,0
Female,0,Yes,No,60.0,Yes,No,Fiber optic,No internet service,Yes,One year,No,Bank transfer,38.14,2297.93,0.0,0.0,0.0,0.6252459016393442,0
Male,0,No,No,25.0,Yes,No,Fiber optic,No internet service,Yes,Month-to-month,Yes,Mailed check,81.91,2074.29,81.91,0.0,1.0,3.150384615384615,0
Female,0,Yes,No,19.0,Yes,No phone service,No,No,Yes,Two year,No,Mailed check,100.03,1902.26,0.0,0.0,0.0,5.0015,0
Female,0,No,No,62.0,Yes,No,Fiber optic,Yes,No,Two year,No,Credit card,66.51,4150.77,0.0,62.0,0.0,1.0557142857142858,0
Female,0,Yes,No,10.0,Yes,No,DSL,Yes,No internet service,Two year,Yes,Mailed check,32.88,349.14,0.0,10.0,0.0,2.9890909090909092,0
Female,0,No,Yes,65.0,Yes,No phone service,DSL,No internet service,No,Month-to-month,Yes,Credit card,44.16,2885.24,44.16,0.0,1.0,0.6690909090909091,0
Male,0,No,Yes,35.0,Yes,Yes,DSL,No,No,Month-to-month,Yes,Mailed check,49.39,1728.17,49.39,0.0,1.0,1.3719444444444444,0
Female,0,Yes,Yes,52.0,No,No,DSL,No,No internet service,Two year,No,Bank transfer,106.31,5523.35,0.0,0.0,0.0,2.0058490566037737,0
Male,1,No,No,27.0,Yes,No,Fiber optic,No internet service,No internet service,One year,No,Mailed check,80.38,2204.74,0.0,0.0,0.0,2.8707142857142856,0
Male,0,Yes,No,51.0,Yes,No,DSL,Yes,No internet service,Month-to-month,Yes,Mailed check,110.66,5626.31,110.66,51.0,0.0,2.128076923076923,0
Female,0,No,No,66.0,Yes,Yes,Fiber optic,No internet service,Yes,Month-to-month,No,Credit card,50.19,3322.95,50.19,0.0,1.0,0.7491044776119402,0
Male,0,Yes,No,36.0,Yes,Yes,Fiber optic,No internet service,Yes,Month-to-month,Yes,Electronic check,105.29,3799.44,105.29,0.0,1.0,2.845675675675676,0
Male,0,No,No,16.0,Yes,No phone service,DSL,No,No internet service,One year,Yes,Mailed check,97.17,1561.73,0.0,0.0,0.0,5.715882352941176,0
Male,0,No,Yes,6.0,Yes,No phone service,DSL,Yes,Yes,Month-to-month,Yes,Bank transfer,112.89,655.74,112.89,6.0,0.0,16.127142857142857,0
Female,0,Yes,Yes,66.0,Yes,No,DSL,No internet service,No internet service,Two year,Yes,Electronic check,42.18,2785.48,0.0,0.0,0.0,0.6295522388059701,0
Male,0,Yes,No,71.0,No,Yes,Fiber optic,Yes,No internet service,One year,No,Electronic check,112.72,7992.54,0.0,71.0,0.0,1.5655555555555556,0
Male,0,No,No,47.0,Yes,Yes,Fiber optic,No internet service,No,Two year,Yes,Mailed check,83.94,3963.89,0.0,0.0,0.0,1.74875,0
Male,0,No,No,2.0,Yes,No,Fiber optic,No,No internet service,Month-to-month,Yes,Electronic check,91.45,188.04,91.45,0.0,1.0,30.483333333333334,1
Female,1,No,Yes,63.0,Yes,No phone service,DSL,No internet service,No,One year,No,Electronic check,,2334.91,0.0,0.0,0.0,0.57171875,0
Male,0,Yes,No,36.0,Yes,No phone service,No,Yes,No,Two year,Yes,Electronic check,39.61,1454.76,0.0,36.0,0.0,1.0705405405405406,0
Male,0,No,Yes,17.0,Yes,No,Fiber optic,No internet service,Yes,One year,Yes,Credit card,117.43,1988.43,0.0,0.0,0.0,6.523888888888889,1
Male,0,Yes,No,27.0,Yes,No phone service,Fiber optic,No internet service,No,One year,Yes,Credit card,96.4,2631.6,0.0,0.0,0.0,3.442857142857143,0
Female,0,No,Yes,67.0,Yes,Yes,Fiber optic,No,No internet service,Month-to-month,No,Bank transfer,106.9,7150.04,106.9,0.0,1.0,1.572058823529412,0
Female,0,No,Yes,56.0,Yes,Yes,DSL,Yes,No internet service,Month-to-month,No,Bank transfer,44.22,2503.08,44.22,56.0,0.0,0.7757894736842105,0
Female,0,No,No,43.0,Yes,No,Fiber optic,Yes,No,One year,Yes,Mailed check,67.51,2879.51,0.0,43.0,0.0,1.534318181818182,0
Male,0,Yes,No,53.0,Yes,No phone service,Fiber optic,No internet service,Yes,Month-to-month,Yes,Credit card,70.96,3790.7,70.96,0.0,1.0,1.314074074074074,0
Male,0,Yes,No,61.0,Yes,No phone service,DSL,No internet service,No internet service,Two year,Yes,Mailed check,44.64,2708.99,0.0,0.0,0.0,0.72,0
Female,0,No,Yes,45.0,Yes,Yes,DSL,No,Yes,One year,Yes,Electronic check,32.45,1453.55,0.0,0.0,0.0,0.7054347826086957,0
Female,1,Yes,No,23.0,Yes,Yes,Fiber optic,No internet service,Yes,Month-to-month,No,Electronic check,36.59,838.18,36.59,0.0,1.0,1.5245833333333334,0
Female,0,Yes,No,6.0,Yes,Yes,Fiber optic,No internet service,No,One year,Yes,Mailed check,49.88,287.42,0.0,0.0,0.0,7.125714285714286,0
Male,0,Yes,No,9.0,Yes,No phone service,No,Yes,No internet service,One year,Yes,Bank transfer,60.2,569.11,0.0,9.0,0.0,6.0200000000000005,0
Male,0,No,Yes,17.0,Yes,No phone service,Fiber optic,No,Yes,One year,Yes,Bank transfer,,303.73,0.0,0.0,0.0,1.103888888888889,0
Female,1,Yes,No,55.0,Yes,No phone service,No,No,Yes,One year,No,Mailed check,65.71,3624.36,0.0,0.0,0.0,1.1733928571428571,0
Female,0,No,No,7.0,Yes,Yes,DSL,Yes,No internet service,Month-to-month,No,Credit card,70.88,508.26,70.88,7.0,0.0,8.86,0
Male,0,Yes,No,10.0,Yes,No,Fiber optic,Yes,Yes,Month-to-month,No,Mailed check,65.52,634.3,65.52,10.0,0.0,5.956363636363636,1
Female,0,No,No,70.0,Yes,No,DSL,No internet service,Yes,Two year,No,Bank transfer,77.25,5398.52,0.0,0.0,0.0,1.0880281690140845,0
Female,0,Yes,No,29.0,Yes,No phone service,No,No internet service,Yes,Month-to-month,Yes,Electronic check,26.96,761.95,26.96,0.0,1.0,0.8986666666666667,1
Male,0,Yes,Yes,10.0,Yes,No phone service,Fiber optic,Yes,No internet service,Month-to-month,Yes,Electronic check,106.14,1055.01,106.14,10.0,0.0,9.649090909090908,0
Female,1,No,Yes,62.0,Yes,No phone service,Fiber optic,No,Yes,Two year,Yes,Credit card,41.37,2583.13,0.0,0.0,0.0,0.6566666666666666,0
Male,0,Yes,Yes,69.0,Yes,Yes,DSL,No,No internet service,Month-to-month,No,Bank transfer,61.76,4253.88,61.76,0.0,1.0,0.8822857142857142,0
Male,0,Yes,No,36.0,Yes,No,Fiber optic,No internet service,Yes,Two year,Yes,Bank transfer,,3736.79,0.0,0.0,0.0,2.801081081081081,0
Female,0,No,Yes,9.0,Yes,No phone service,Fiber optic,No internet service,Yes,Month-to-month,Yes,Mailed check,89.57,804.1,89.57,0.0,1.0,8.956999999999999,0
Female,0,No,Yes,45.0,Yes,No,DSL,No internet service,Yes,Month-to-month,Yes,Bank transfer,,4099.61,90.21,0.0,1.0,1.961086956521739,0
Male,1,No,No,62.0,Yes,No,Fiber optic,No internet service,Yes,One year,Yes,Electronic check,98.05,6081.72,0.0,0.0,0.0,1.5563492063492064,0
Female,0,Yes,Yes,69.0,Yes,Yes,Fiber optic,No internet service,Yes,Month-to-month,No,Bank transfer,114.7,7897.16,114.7,0.0,1.0,1.6385714285714286,0
